matricula,mediaNotas,menorNota,maiorNota,quantidadeDisciplinasCursadas,quantidadeAprovacoes,quantidadeReprovacoes,mediaAprovadas,mediaReprovadas,cargaHorariaPassada,taxaDeSucesso,semestrePassado,anosMatriculado,menorNota_cat,maiorNota_cat,mediaNotas_cat,mediaAprovadas_cat,mediaReprovadas_cat,cargaHorariaPassada_cat
2009028341,4.971428571428571,0.7,9.1,7,5,2,6.540000000000001,1.0499999999999998,450.0,0.7142857142857143,2015.1,6,baixa,alta,baixa,media,baixa,alta
2009028457,3.95,0.0,6.1,4,2,2,5.9,2.0,210.0,0.5,2015.1,6,baixa,media,baixa,media,baixa,baixa
2009028473,6.485714285714287,5.2,8.6,7,7,0,6.485714285714287,0.0,420.0,1.0,2015.1,6,media,alta,media,media,baixa,alta
2009029488,4.033333333333332,0.0,7.2,6,3,3,6.266666666666666,1.8,360.0,0.5,2015.1,6,baixa,alta,baixa,media,baixa,media
2009029534,5.88,2.4,7.1,5,4,1,6.75,2.4,270.0,0.8,2015.1,6,baixa,alta,media,media,baixa,baixa
2009029593,0.0,0.0,0.0,1,0,1,0.0,0.0,60.0,0.0,2015.1,6,baixa,baixa,baixa,baixa,baixa,muito_baixa
2009029712,1.72,0.0,5.3,5,1,4,5.3,0.825,285.0,0.2,2015.1,6,baixa,media,baixa,media,baixa,media
2009029763,5.159999999999999,0.9,8.3,5,4,1,6.225,0.9,350.0,0.8,2015.1,6,baixa,alta,media,media,baixa,media
2009030338,6.550000000000001,6.4,6.7,2,2,0,6.550000000000001,0.0,120.0,1.0,2015.1,6,media,media,media,media,baixa,baixa
2009030621,6.625,5.7,7.5,4,4,0,6.625,0.0,240.0,1.0,2015.1,6,media,alta,media,media,baixa,baixa
2009030877,7.657142857142858,6.5,8.8,7,7,0,7.657142857142858,0.0,420.0,1.0,2015.1,6,media,alta,alta,alta,baixa,alta
2009031024,6.8,6.0,7.5,4,4,0,6.8,0.0,240.0,1.0,2015.1,6,media,alta,media,media,baixa,baixa
2009031237,3.96,0.6,7.2,5,3,2,6.0,0.8999999999999999,300.0,0.6,2015.1,6,baixa,alta,baixa,media,baixa,media
2009031288,6.933333333333334,6.0,8.0,3,3,0,6.933333333333334,0.0,180.0,1.0,2015.1,6,media,alta,media,media,baixa,baixa
2009031393,0.0,0.0,0.0,2,0,2,0.0,0.0,120.0,0.0,2015.1,6,baixa,baixa,baixa,baixa,baixa,baixa
2009031440,2.033333333333333,0.0,5.8,3,1,2,5.8,0.15,180.0,0.3333333333333333,2015.1,6,baixa,media,baixa,media,baixa,baixa
2009031903,5.716666666666666,0.0,8.2,6,5,1,6.859999999999999,0.0,360.0,0.8333333333333334,2015.1,6,baixa,alta,media,media,baixa,media
2009032101,7.639999999999999,7.2,8.5,5,5,0,7.639999999999999,0.0,300.0,1.0,2015.1,6,alta,alta,alta,alta,baixa,media
2009032209,4.720000000000001,1.7,7.2,5,2,3,6.95,3.233333333333333,290.0,0.4,2015.1,6,baixa,alta,baixa,media,baixa,media
2009032390,6.25,3.7,9.0,8,7,1,6.614285714285714,3.7,510.0,0.875,2015.1,6,baixa,alta,media,media,baixa,alta
2009032799,4.3999999999999995,0.2,6.9,3,2,1,6.5,0.2,180.0,0.6666666666666666,2015.1,6,baixa,media,baixa,media,baixa,baixa
2009032888,5.84,4.7,7.2,5,4,1,6.125,4.7,330.0,0.8,2015.1,6,baixa,alta,media,media,baixa,media
2009033230,7.575,5.3,8.8,4,4,0,7.575,0.0,240.0,1.0,2015.1,6,media,alta,alta,alta,baixa,baixa
2010034481,7.133333333333333,5.6,9.6,3,3,0,7.133333333333333,0.0,180.0,1.0,2015.1,5,media,alta,alta,alta,baixa,baixa
2010034660,9.766666666666666,9.4,10.0,6,6,0,9.766666666666666,0.0,360.0,1.0,2015.1,5,alta,,alta,alta,baixa,media
2010034708,5.775,4.0,6.9,4,3,1,6.366666666666667,4.0,300.0,0.75,2015.1,5,baixa,media,media,media,baixa,media
2010034929,6.324999999999999,5.5,7.4,8,8,0,6.324999999999999,0.0,480.0,1.0,2015.1,5,media,alta,media,media,baixa,alta
2010035119,2.325,0.0,8.0,8,2,6,8.0,0.43333333333333335,470.0,0.25,2015.1,5,baixa,alta,baixa,alta,baixa,alta
2010035127,3.0250000000000004,0.2,7.7,4,1,3,7.7,1.4666666666666668,270.0,0.25,2015.1,5,baixa,alta,baixa,alta,baixa,baixa
